Test,Testing_Item,Test_(Repeat),Range,Value
tb_leakage_low,ACC_RESETN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,ACC_SEL_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,ACC_SEL_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,ACC_SEL_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,ACC_SEL_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,ACC_SEL_4,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,ADA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_CLK_SEL,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,BIST_SE,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,BIST_SI_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_SI_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_SI_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,BIST_SI_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,CENA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CENB,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,CLKA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,CLKB,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CLKSC,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,CRE1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CRE2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,DA_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,DA_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,DA_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DA_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DB_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
